nickname,team,conference,rating,lat,long,coords,score,wins,losses
GT,Georgia Tech,ACC-COASTAL,96.03,33.7725569213194,-84.3928527832031,"(33.7726,-84.3929)",9,GaSt UGA Memp Clem NCSU UCF Tenn OhSt Ore ,
Mich,Michigan,BIG TEN-EAST,92.42,42.2658687325173,-83.7487256526947,"(42.2659,-83.7487)",8,EMU MSU Tol Akr Ill Pitt Cinc Clem ,OhSt 
KSU,Kansas State,BIG 12,86.1,39.2018636181424,-96.593792438507,"(39.2019,-96.5938)",8,Neb Mizz OkSt KU Ill OU Wash IaSt ,Ore 
Ore,Oregon,PAC-12 NORTH,84.98,44.0582727242666,-123.068504333496,"(44.0583,-123.0685)",8,OrSt Wash BoSt Cal USC WSU KSU FrSt ,GT 
Bay,Baylor,BIG 12,79.41,31.5586626355116,-97.1156001091003,"(31.5587,-97.1156)",8,UTex TxSt UTSA Tuln SMU OU OkSt NoTX ,TCU 
Pitt,Pittsburgh,ACC-COASTAL,78.02,40.4467837650163,-80.0157558917999,"(40.4468,-80.0158)",8,WVU PaSt Rutg JMU OhSt Akr Kent Mary ,Mich 
OhSt,Ohio State,BIG TEN-EAST,94.66,40.0016856893694,-83.019728064537,"(40.0017,-83.0197)",7,Ohio Ball Cinc Mich PaSt MSU Louv ,Pitt GT 
UTex,Texas,BIG 12,87.17,30.2836034020682,-97.7323365211486,"(30.2836,-97.7323)",7,TxSt UTSA Hou Lous TCU Rice UCF ,Bay OkSt 
Wash,Washington,PAC-12 NORTH,86.0,47.6504305440122,-122.302919847393,"(47.6504,-122.3029)",7,WSU OrSt BoSt SJSU USC Utah UCLA ,Ore KSU 
Clem,Clemson,ACC-ATLANTIC,85.58,34.6787466574134,-82.8431797027587,"(34.6787,-82.8432)",7,UGA USCe Tenn VPI FSU NCSU UCF ,GT Mich 
FSU,Florida State,ACC-ATLANTIC,84.33,30.4375475846212,-84.304533981035,"(30.4375,-84.3045)",7,Troy SoAL UF Mia Tuln USF UGA ,UCF Clem 
UF,Florida,SEC-EAST,77.7,29.6498686779723,-82.348666191101,"(29.6499,-82.3487)",7,USF FAU SoAL Mia UGA NCSU Tuln ,UCF FSU 
OkSt,Oklahoma State,BIG 12,76.49,36.1257086623585,-97.0665049552917,"(36.1257,-97.0665)",7,Tuls OU TTU AF Ariz UTex TCU ,KSU Bay 
MSU,Michigan State,BIG TEN-EAST,73.33,42.7281691163326,-84.4848753511905,"(42.7282,-84.4849)",7,CMU WMU EMU Minn Tol Ill PaSt ,Mich OhSt 
Tenn,Tennessee,SEC-EAST,93.37,35.9547343726225,-83.9253330230712,"(35.9547,-83.9253)",6,WKU Vand USCe Mars UK NCSU ,Clem GT Louv 
PaSt,Penn State,BIG TEN-EAST,91.5,40.8121527327504,-77.8562021255493,"(40.8122,-77.8562)",6,Buff Syr Rutg Mary JMU Navy ,Pitt OhSt MSU 
Utah,Utah,PAC-12 SOUTH,88.69,40.7599478200457,-111.8488240242,"(40.7599,-111.8488)",6,UtSt UNLV CoSt AF Ariz FrSt ,BoSt WSU Wash 
TCU,TCU,BIG 12,87.0,32.7099159694234,-97.3679959774017,"(32.7099,-97.368)",6,SMU Bay Hou NoTX TTU Memp ,OU UTex OkSt 
USC,Southern California,PAC-12 SOUTH,83.58,34.0140097406291,-118.287895917892,"(34.014,-118.2879)",6,SDSU UCLA FrSt Ariz BoSt UNLV ,Ore Wash Cal 
Louv,Louisville,ACC-ATLANTIC,80.41,38.2054216852114,-85.758105615668,"(38.2054,-85.7581)",6,Ind Vand WKU Purd Minn Tenn ,Cinc UK OhSt 
UCLA,UCLA,PAC-12 SOUTH,79.03,34.1615695872626,-118.167614936828,"(34.1616,-118.1676)",6,SDSU Stan Nev SJSU Ariz Cal ,FrSt USC Wash 
Mary,Maryland,BIG TEN-EAST,76.85,38.9912027514442,-76.9473117324878,"(38.9912,-76.9473)",6,Navy Temp ODU Syr UNC Rutg ,JMU PaSt Pitt 
WSU,Washington State,PAC-12 NORTH,75.7,46.731967978653,-117.160585787811,"(46.732,-117.1606)",6,UtSt Utah OrSt SJSU AF Cal ,Wash BoSt Ore 
Cinc,Cincinnati,AAC,74.73,39.131284252734,-84.5162614374157,"(39.1313,-84.5163)",6,MiaO Louv Ball Ind Ohio WKU ,OhSt UK Mich 
WVU,West Virginia,BIG 12,74.44,39.6522199248281,-79.9551753012939,"(39.6522,-79.9552)",6,BC Buff Kent Akr JMU Duke ,Pitt UVA Navy 
UNC,North Carolina,ACC-COASTAL,74.07,35.9069883474785,-79.0479183197021,"(35.907,-79.0479)",6,Duke Wake ODU VPI USCe Char ,ECU NCSU Mary 
UCF,UCF,AAC,72.89,28.607958859227,-81.1929988861084,"(28.608,-81.193)",6,FAU UF Mia FSU USF FIU ,GT Clem UTex 
Mizz,Missouri,SEC-EAST,72.39,38.9358952967223,-92.3331141471862,"(38.9359,-92.3331)",6,KU ArSt Iowa Wisc Minn Memp ,KSU IaSt Neb 
Neb,Nebraska,BIG TEN-WEST,71.37,40.8204835232949,-96.7057156562805,"(40.8205,-96.7057)",6,KU Mizz IaSt CoSt OU Ill ,KSU Iowa Minn 
OrSt,Oregon State,PAC-12 NORTH,86.06,44.5594768421455,-123.281407356262,"(44.5595,-123.2814)",5,Hawa UtSt Nev SJSU ASU ,Ore Wash WSU BoSt 
Iowa,Iowa,BIG TEN-WEST,81.5,41.6583889368098,-91.5514755249023,"(41.6584,-91.5515)",5,Neb Wisc NIU Purd MiaO ,IaSt Minn Mizz KU 
TTU,Texas Tech,BIG 12,80.9,33.591028298011,-101.87293767929,"(33.591,-101.8729)",5,UNM UTEP UTSA Tuls OU ,Ariz OkSt SMU TCU 
Minn,Minnesota,BIG TEN-WEST,80.32,44.9765249691119,-93.2245758175849,"(44.9765,-93.2246)",5,Wisc IaSt Iowa Neb KU ,Ill MSU Louv Mizz 
Tuln,Tulane,AAC,79.77,29.9458981125284,-90.1151911230632,"(29.9459,-90.1152)",5,SoMS SoAL Memp Hou Mia ,Lous Bay FSU UF 
Ill,Illinois,BIG TEN-WEST,79.54,40.0993057313305,-88.2359862327575,"(40.0993,-88.236)",5,Purd NW Minn Ind IaSt ,KSU Mich MSU Neb 
UGA,Georgia,SEC-EAST,79.43,33.9498214894988,-83.3734416961669,"(33.9498,-83.3734)",5,GASO GaSt USCe CCar UK ,Clem GT UF FSU 
FrSt,Fresno State,MWC-WEST,76.85,36.8143196952459,-119.758101566905,"(36.8143,-119.7581)",5,UCLA UNLV Cal Stan Nev ,USC SJSU Ore Utah 
USCe,South Carolina,SEC-EAST,76.61,33.9725911545769,-81.020216345787,"(33.9726,-81.0202)",5,GASO CCar Char Wake Mia ,Clem Tenn UGA UNC 
IaSt,Iowa State,BIG 12,75.98,42.0140054110848,-93.6358094215393,"(42.014,-93.6358)",5,Iowa Mizz CoSt KU Wisc ,Minn Neb Ill KSU 
Duke,Duke,ACC-COASTAL,75.57,35.9953166502013,-78.9417243003845,"(35.9953,-78.9417)",5,Char UVA ECU CCar ODU ,UNC NCSU Wake WVU 
NCSU,NC State,ACC-ATLANTIC,75.01,35.8007596820789,-78.7194871902465,"(35.8008,-78.7195)",5,CCar Duke ECU UNC Wake ,GT Clem UF Tenn 
Memp,Memphis,AAC,73.86,35.1208569172689,-89.9780574112838,"(35.1209,-89.9781)",5,ArSt ULM SoMS Lous UK ,GT Tuln TCU Mizz 
BoSt,Boise State,MWC-MOUNTAIN,73.65,43.6027080538683,-116.195912361145,"(43.6027,-116.1959)",5,Nev Utah WSU OrSt UtSt ,Ore Wash Cal USC 
Purd,Purdue,BIG TEN-WEST,73.49,40.434323,-86.918485,"(40.4343,-86.9185)",5,NIU WMU Wisc NW Ball ,Ill Ind Louv Iowa 
JMU,James Madison,SUN BELT EAST,71.88,38.4350889358521,-78.8734033040367,"(38.4351,-78.8734)",5,UVA Mary VPI Mars Rutg ,Pitt Navy PaSt WVU 
Syr,Syracuse,ACC-ATLANTIC,71.72,43.0361328204232,-76.136519908905,"(43.0361,-76.1365)",5,BC Buff Kent Temp EMU ,Rutg PaSt Mary Navy 
UTSA,UTSA,CONF-USA,71.54,29.4169371286815,-98.4789025783538,"(29.4169,-98.4789)",5,Rice UTEP UNM Hou SMU ,TxSt UTex Bay TTU 
Hou,Houston,AAC,71.51,29.7217679632935,-95.3490984109521,"(29.7218,-95.3491)",5,Rice Lous TxSt LaTe SoMS ,TCU UTex Tuln UTSA 
WKU,Western Kentucky,CONF-USA,70.72,36.9848766298946,-86.459013971646,"(36.9849,-86.459)",5,MidT Vand Ball Ind Mars ,Tenn UK Louv Cinc 
Ariz,Arizona,PAC-12 SOUTH,70.55,32.2283402320714,-110.949039459228,"(32.2283,-110.949)",5,UTEP TTU ASU UNM AF ,USC OkSt UCLA Utah 
Cal,California,PAC-12 NORTH,70.38,37.8706866037042,-122.250709533691,"(37.8707,-122.2507)",5,Hawa SJSU Stan BoSt USC ,Ore FrSt UCLA WSU 
Mars,Marshall,SUN BELT EAST,69.72,38.4248653617916,-82.4218583106994,"(38.4249,-82.4219)",5,UK App Kent VPI Wake ,Ohio Tenn JMU WKU 
Navy,Navy,AAC,67.61,38.9848326354336,-76.5071153640747,"(38.9848,-76.5071)",5,WVU Temp JMU Syr UVA ,Mary ODU Rutg PaSt 
Ohio,Ohio,MAC-EAST,67.36,39.321309084594,-82.1034394465235,"(39.3213,-82.1034)",5,Mars Bowl MiaO Akr UK ,OhSt Kent Tol Cinc 
Lous,Louisiana,SUN BELT WEST,67.35,30.2157960967561,-92.0162641355238,"(30.2158,-92.0163)",5,Tuln ULM LaTe SMU SoAL ,Hou UTex Memp SoMS 
USF,South Florida,AAC,57.48,27.9759944700371,-82.5033491849899,"(27.976,-82.5033)",5,FIU Troy FAU SoAL GASO ,UF Mia UCF FSU 
OU,Oklahoma,BIG 12,82.6,35.205899594885,-97.4425506591796,"(35.2059,-97.4426)",4,NoTX Tuls SMU TCU ,OkSt KSU Bay Neb TTU 
Wisc,Wisconsin,BIG TEN-WEST,78.22,43.0699380264687,-89.4127464294433,"(43.0699,-89.4127)",4,NIU NW CMU WMU ,Minn Iowa Purd Mizz IaSt 
Wake,Wake Forest,ACC-ATLANTIC,77.29,36.0918348106127,-80.2553415298461,"(36.0918,-80.2553)",4,Char App Duke CCar ,VPI UNC NCSU USCe Mars 
UK,Kentucky,SEC-EAST,77.1,38.0226216812936,-84.5052051544189,"(38.0226,-84.5052)",4,MiaO Louv WKU Cinc ,Mars Tenn Memp UGA Ohio 
AF,Air Force,MWC-MOUNTAIN,75.37,38.9969074312268,-104.843688011169,"(38.9969,-104.8437)",4,Colo Wyo UNM ASU ,CoSt OkSt Utah WSU Ariz 
Troy,Troy,SUN BELT WEST,73.2,31.7995274152521,-85.9521769158619,"(31.7995,-85.9522)",4,GaSt Vand SoMS CCar ,FSU USF SoAL Mia GASO 
KU,Kansas,BIG 12,73.12,38.9629459889853,-95.2463150024414,"(38.9629,-95.2463)",4,Tuls Wyo ArSt Iowa ,Mizz Neb KSU IaSt Minn 
SMU,SMU,AAC,71.89,32.8377158099425,-96.782705783844,"(32.8377,-96.7827)",4,NoTX LaTe TTU TxSt ,TCU OU Bay Lous UTSA 
ASU,Arizona State,PAC-12 SOUTH,69.09,33.426364,-111.932616,"(33.4264,-111.9326)",4,SDSU Colo UNM CoSt ,UNLV Ariz UTEP AF OrSt 
App,Appalachian State,SUN BELT EAST,67.31,36.211515301693,-81.6855061054229,"(36.2115,-81.6855)",4,Char GASO Vand ECU ,VPI Mars Wake GaSt UVA 
SoAL,South Alabama,SUN BELT WEST,66.84,30.6742389873067,-88.0756330490112,"(30.6742,-88.0756)",4,SoMS Troy GaSt LaTe ,FSU Tuln UF USF Lous 
Mia,Miami,ACC-COASTAL,66.53,25.9579337390289,-80.2388405799865,"(25.9579,-80.2388)",4,FIU FAU USF Troy ,UCF FSU UF Tuln USCe 
Ind,Indiana,BIG TEN-EAST,65.8,39.1809091337292,-86.5255737304687,"(39.1809,-86.5256)",4,Purd NW Ball Akr ,Louv Ill Cinc WKU MiaO 
Stan,Stanford,PAC-12 NORTH,65.76,37.4347264132917,-122.161016464233,"(37.4347,-122.161)",4,Nev Hawa Wyo SDSU ,SJSU Cal UCLA FrSt UNLV 
UVA,Virginia,ACC-COASTAL,65.12,38.0311237285568,-78.513708114624,"(38.0311,-78.5137)",4,WVU BC App VPI ,JMU ODU Duke Temp Navy 
EMU,Eastern Michigan,MAC-WEST,64.78,42.2557607087688,-83.647756576538,"(42.2558,-83.6478)",4,CMU Buff Tol Ball ,Mich Bowl MSU WMU Syr 
VPI,Virginia Tech,ACC-COASTAL,64.29,37.2199742830054,-80.4180550575256,"(37.22,-80.4181)",4,App Wake ECU ODU ,JMU Clem UNC Mars UVA 
SoMS,Southern Miss,SUN BELT WEST,63.07,31.3289784266123,-89.3313306570053,"(31.329,-89.3313)",4,ArSt ULM Rice Lous ,SoAL Tuln Memp Troy Hou 
SJSU,San Jose State,MWC-WEST,62.73,37.3201051866908,-121.86811613079,"(37.3201,-121.8681)",4,Stan UNLV FrSt Hawa ,Cal Wash UCLA WSU OrSt 
Kent,Kent State,MAC-EAST,62.71,41.1390868254951,-81.3134394586086,"(41.1391,-81.3134)",4,Akr Ohio Buff Temp ,Tol Mars Syr WVU Pitt 
GASO,Georgia Southern,SUN BELT EAST,62.25,32.4122116763477,-81.7831707000732,"(32.4122,-81.7832)",4,FIU FAU GaSt Troy ,USCe CCar UGA App USF 
MiaO,Miami (OH),MAC-EAST,60.81,39.5194211314234,-84.7333545014001,"(39.5194,-84.7334)",4,MidT Bowl CMU Ind ,Cinc UK Ball Ohio Iowa 
Rutg,Rutgers,BIG TEN-EAST,60.4,40.5137828930887,-74.4650445708728,"(40.5138,-74.465)",4,Temp Syr Navy ODU ,Pitt PaSt BC Mary JMU 
UNLV,UNLV,MWC-WEST,58.85,36.0859738804692,-115.017113685607,"(36.086,-115.0171)",4,ASU SDSU Hawa Stan ,FrSt SJSU Utah CoSt USC 
CMU,Central Michigan,MAC-WEST,58.82,43.5776122825745,-84.7708296775817,"(43.5776,-84.7708)",4,NIU NW Bowl Tol ,MSU WMU EMU Wisc MiaO 
CoSt,Colorado State,MWC-MOUNTAIN,56.64,40.561742448678,-105.139843711922,"(40.5617,-105.1398)",4,Colo AF UNLV UNM ,Wyo IaSt Utah Neb ASU 
LaTe,Louisiana Tech,CONF-USA,53.19,32.5322380991582,-92.6560188758494,"(32.5322,-92.656)",4,ArSt NoTX Rice Tuls ,ULM SMU Lous Hou SoAL 
ECU,East Carolina,AAC,70.85,35.5964257969893,-77.3652291297912,"(35.5964,-77.3652)",3,ODU UNC BC ,NCSU VPI CCar Duke Temp App 
Tol,Toledo,MAC-WEST,66.95,41.6573907789532,-83.6140171915029,"(41.6574,-83.614)",3,Bowl Kent Ohio ,Mich Akr MSU EMU WMU CMU 
SDSU,San Diego State,MWC-WEST,64.76,32.7830532577911,-117.119600772857,"(32.7831,-117.1196)",3,UTEP UtSt Nev ,USC ASU UCLA Hawa UNLV Stan 
Tuls,Tulsa,AAC,64.69,36.148860675192,-95.943603515625,"(36.1489,-95.9436)",3,MidT ULM NoTX ,OkSt KU OU ArSt TTU LaTe 
GaSt,Georgia State,SUN BELT EAST,64.45,33.7576173764784,-84.4010603427887,"(33.7576,-84.4011)",3,MidT App FAU ,GT Troy UGA SoAL GASO Vand 
Vand,Vanderbilt,SEC-EAST,64.21,36.1435584969637,-86.8087720870971,"(36.1436,-86.8088)",3,MidT NIU GaSt ,Tenn WKU Louv Troy ArSt App 
FAU,Florida Atlantic,CONF-USA,63.4,26.3754535636523,-80.101683139801,"(26.3755,-80.1017)",3,FIU MidT Rice ,UCF Mia UF GASO USF GaSt 
NoTX,North Texas,CONF-USA,63.26,33.2039350840891,-97.1592235565185,"(33.2039,-97.1592)",3,Rice TxSt ArSt ,OU SMU TCU LaTe Tuls Bay 
Wyo,Wyoming,MWC-MOUNTAIN,62.76,41.3119359929924,-105.569064617156,"(41.3119,-105.5691)",3,CoSt UtSt Nev ,AF UNM Colo KU Stan Hawa 
CCar,Coastal Carolina,SUN BELT EAST,62.18,33.7928381752244,-79.0170228280525,"(33.7928,-79.017)",3,GASO Char ECU ,NCSU USCe UGA Duke Wake Troy 
Buff,Buffalo,MAC-EAST,62.1,42.9990683823964,-78.7775194644928,"(42.9991,-78.7775)",3,BC NIU NW ,PaSt Akr Syr WVU EMU Kent 
WMU,Western Michigan,MAC-WEST,60.86,42.2857554874701,-85.6010042130947,"(42.2858,-85.601)",3,CMU EMU Tol ,Ball MSU Purd NIU NW Wisc 
BC,Boston College,ACC-ATLANTIC,60.84,42.3351083489585,-71.1664724349975,"(42.3351,-71.1665)",3,Rutg Char Bowl ,Syr Temp Buff WVU UVA ECU 
Ball,Ball State,MAC-WEST,60.11,40.2160276446665,-85.4176996220661,"(40.216,-85.4177)",3,WMU MiaO Bowl ,OhSt Cinc Ind WKU EMU Purd 
MidT,Middle Tennessee,CONF-USA,59.65,35.8511090805408,-86.3684499263763,"(35.8511,-86.3684)",3,FIU Char ArSt ,Vand WKU GaSt MiaO Tuls FAU 
Temp,Temple,AAC,58.03,39.9007489004881,-75.1674914360046,"(39.9007,-75.1675)",3,BC UVA ECU ,Rutg Mary Navy ODU Syr Kent 
ODU,Old Dominion,SUN BELT EAST,57.77,36.8887813152348,-76.3056761026382,"(36.8888,-76.3057)",3,Navy UVA Temp ,ECU Mary UNC Rutg Duke VPI 
Akr,Akron,MAC-EAST,52.73,41.0725695152871,-81.5083837509155,"(41.0726,-81.5084)",3,Buff Bowl Tol ,Kent Mich Pitt WVU Ohio Ind 
TxSt,Texas State,SUN BELT WEST,52.61,29.8913445487971,-97.9253118055946,"(29.8913,-97.9253)",3,UTSA ULM Colo ,UTex Bay Rice Hou NoTX SMU 
Hawa,Hawaii,MWC-WEST,52.42,21.3727829932682,-157.929968833923,"(21.3728,-157.93)",3,SDSU Colo Wyo ,Cal OrSt Nev Stan UNLV SJSU 
UNM,New Mexico,MWC-MOUNTAIN,48.44,35.0676104826716,-106.628102835815,"(35.0676,-106.6281)",3,UTEP Wyo Colo ,TTU AF Ariz ASU UTSA CoSt 
